review_body,review_title,asin,pp_date,review_rating,review_date,text_clean,title_clean,ml_score,text,ml_topic,review,opinion
absolutely love these capsules! super tasty and works well in my nespresso machine.,,PLID43684287,21 October 2020,5,2020-10-21,absolutely love these capsules super tasty and works we will in my nespresso machine,,1,absolutely love these capsules super tasty and works we will in my nespresso machine ,['taste'],absolutely love these capsules! super tasty and works well in my nespresso machine. ,[]
"great coffee, haven't had a chance to try all the various flavours, however, they have all been great thus far. the ""this is africa"" flavour is awesome.",,PLID43684287,9 October 2020,5,2020-10-09,great coffee haven had chance to try all the various flavours however they have all been great thus far the this is africa flavour is awesome,,1,great coffee haven had chance to try all the various flavours however they have all been great thus far the this is africa flavour is awesome ,['allergens'],"great coffee, haven't had a chance to try all the various flavours, however, they have all been great thus far. the ""this is africa"" flavour is awesome. ",['great coffee']
"so, it is really, really nice coffee; but, is it worth twice as much as the coffee from cheaper capsules on takealot? no. it is not. i bought this and cheaper capsules side by side to do the comparison and if you drink a ton of coffee as i do, i would suggest maybe getting the cheaper ones. however, if you drink one cup a day, then this is the better option as it is of slightly better quality. cheers my fellow coffee addicts. ",,PLID43684287,14 September 2020,3,2020-09-14,so it is really really nice coffee but is it worth twice as much as the coffee from cheaper capsules on takealot no it is not bought this and cheaper capsules side by side to do the comparison and if you drink ton of coffee as do would suggest maybe getting the cheaper ones however if you drink one cup day then this is the better option as it is of slightly better quality cheers my fellow coffee addicts,,1,so it is really really nice coffee but is it worth twice as much as the coffee from cheaper capsules on takealot no it is not bought this and cheaper capsules side by side to do the comparison and if you drink ton of coffee as do would suggest maybe getting the cheaper ones however if you drink one cup day then this is the better option as it is of slightly better quality cheers my fellow coffee addicts ,[],"so, it is really, really nice coffee; but, is it worth twice as much as the coffee from cheaper capsules on takealot? no. it is not. i bought this and cheaper capsules side by side to do the comparison and if you drink a ton of coffee as i do, i would suggest maybe getting the cheaper ones. however, if you drink one cup a day, then this is the better option as it is of slightly better quality. cheers my fellow coffee addicts.  ","['really nice coffee', 'cheap one', 'slightly well quality', 'fellow coffee addict', 'well option', 'cheap capsule']"
"absolutely delicious home grown sa product. in direct competition with the big names. will definitely purchase again. price is reasonable and affordable. some of the pod are bio degradable, so a natural recycling. ",,PLID43684287,11 September 2020,4,2020-09-11,absolutely delicious home grown sa product in direct competition with the big names will definitely purchase again price is reasonable and affordable some of the pod are bio degradable so natural recycling,,1,absolutely delicious home grown sa product in direct competition with the big names will definitely purchase again price is reasonable and affordable some of the pod are bio degradable so natural recycling ,[],"absolutely delicious home grown sa product. in direct competition with the big names. will definitely purchase again. price is reasonable and affordable. some of the pod are bio degradable, so a natural recycling.  ",[]
works nicely with nespresso machine. a little weak.,,PLID43684287,10 September 2020,4,2020-09-10,works nicely with nespresso machine little weak,,1,works nicely with nespresso machine little weak ,"['allergens', 'taste']",works nicely with nespresso machine. a little weak. ,[]
great value for money and such delicious flavors.,,PLID43684287,24 August 2020,5,2020-08-24,great value for money and such delicious flavors,,1,great value for money and such delicious flavors ,[],great value for money and such delicious flavors. ,"['such delicious flavor', 'great value']"
love this product! and such an awesome reasonable price,,PLID43684287,23 August 2020,5,2020-08-23,love this product and such an awesome reasonable price,,1,love this product and such an awesome reasonable price ,[],love this product! and such an awesome reasonable price ,[]
coffee is not badat all the pods however are not 100% compatible with nespresso.  i have to poke holes in the pod else the water is just dripping out of the machine,,PLID43684287,18 August 2020,4,2020-08-18,coffee is not badat all the pods however are not compatible with nespresso have to poke holes in the pod else the water is just dripping out of the machine,,1,coffee is not badat all the pods however are not compatible with nespresso have to poke holes in the pod else the water is just dripping out of the machine ,['taste'],coffee is not badat all the pods however are not 100% compatible with nespresso.  i have to poke holes in the pod else the water is just dripping out of the machine ,[]
i use it with my nespresso machine. tastes amazing,,PLID43684287,14 August 2020,5,2020-08-14,use it with my nespresso machine tastes amazing,,1,use it with my nespresso machine tastes amazing ,['taste'],i use it with my nespresso machine. tastes amazing ,[]
delicious,,PLID43684287,11 August 2020,5,2020-08-11,delicious,,1,delicious ,[],delicious ,[]
"great coffee, good selection",,PLID43684287,9 August 2020,5,2020-08-09,great coffee good selection,,1,great coffee good selection ,[],"great coffee, good selection ","['great coffee', 'good selection']"
"one of my favourite local brands, delicious coffee, compostable pods! all good!",,PLID43684287,20 July 2020,5,2020-07-20,one of my favourite local brands delicious coffee compostable pods all good,,1,one of my favourite local brands delicious coffee compostable pods all good ,[],"one of my favourite local brands, delicious coffee, compostable pods! all good! ",['delicious coffee']
very pleased with our purchase. good coffee and well-balanced flavours.,,PLID43684287,24 June 2020,5,2020-06-24,very pleased with our purchase good coffee and we will balanced flavours,,1,very pleased with our purchase good coffee and we will balanced flavours ,[],very pleased with our purchase. good coffee and well-balanced flavours. ,['good coffee']
great value for money,,PLID43684287,22 June 2020,5,2020-06-22,great value for money,,1,great value for money ,[],great value for money ,['great value']
lots of choice and great tasting.,,PLID58243680,3 June 2020,4,2020-06-03,lots of choice and great tasting,,1,lots of choice and great tasting ,[],lots of choice and great tasting. ,['great tasting']
delicious! useful to have different strengths to suit different tastes,,PLID58243680,2 June 2020,5,2020-06-02,delicious useful to have different strengths to suit different tastes,,1,delicious useful to have different strengths to suit different tastes ,['price'],delicious! useful to have different strengths to suit different tastes ,[]
these taste really good and fit the machine 100%. ,,PLID58243680,26 May 2020,5,2020-05-26,these taste really good and fit the machine,,1,these taste really good and fit the machine ,['taste'],these taste really good and fit the machine 100%.  ,[]
good value for money,,PLID58243680,17 May 2020,5,2020-05-17,good value for money,,1,good value for money ,[],good value for money ,['good value']
this is simply the best coffee capsules on the market. rich and flavourful. the variety suits everybody's taste. buy it now.,,PLID58243680,10 May 2020,5,2020-05-10,this is simply the best coffee capsules on the market rich and flavourful the variety suits everybody taste buy it now,,1,this is simply the best coffee capsules on the market rich and flavourful the variety suits everybody taste buy it now ,"['price', 'taste']",this is simply the best coffee capsules on the market. rich and flavourful. the variety suits everybody's taste. buy it now. ,['good coffee capsule']
excellent value for money. brazilian blend lungo is delicious,,PLID58243680,5 April 2020,4,2020-04-05,excellent value for money brazilian blend lungo is delicious,,1,excellent value for money brazilian blend lungo is delicious ,[],excellent value for money. brazilian blend lungo is delicious ,['excellent value']
divine!,,PLID58243680,5 April 2020,5,2020-04-05,divine,,1,divine ,[],divine! ,[]
good value for money. works well in a nespresso machine. a def buy. ,,PLID58243680,21 March 2020,5,2020-03-21,good value for money works we will in nespresso machine def buy,,1,good value for money works we will in nespresso machine def buy ,['taste'],good value for money. works well in a nespresso machine. a def buy.  ,['good value']
great value for money,,PLID58243680,7 March 2020,5,2020-03-07,great value for money,,1,great value for money ,[],great value for money ,['great value']
good value for money. a decent cup of coffee at a great price,,PLID58243680,26 February 2020,4,2020-02-26,good value for money decent cup of coffee at great price,,1,good value for money decent cup of coffee at great price ,[],good value for money. a decent cup of coffee at a great price ,"['good value', 'decent cup', 'great price']"
"great buy, i will surely shop this item again.",,PLID58243680,21 February 2020,4,2020-02-21,great buy will surely shop this item again,,1,great buy will surely shop this item again ,['taste'],"great buy, i will surely shop this item again. ",[]
value for money but not great coffee and some of the pods had come open,,PLID58243680,18 February 2020,3,2020-02-18,value for money but not great coffee and some of the pods had come open,,1,value for money but not great coffee and some of the pods had come open ,['delivery'],value for money but not great coffee and some of the pods had come open ,[]
"not as strong or as much chemo as original nespresso pods, and would appreciate a better guide on how to recycle these pods, but for the price, they are great.",,PLID58243680,12 February 2020,4,2020-02-12,not as strong or as much chemo as original nespresso pods and would appreciate better guide on how to recycle these pods but for the price they are great,,1,not as strong or as much chemo as original nespresso pods and would appreciate better guide on how to recycle these pods but for the price they are great ,[],"not as strong or as much chemo as original nespresso pods, and would appreciate a better guide on how to recycle these pods, but for the price, they are great. ",['well guide']
"not impressed at all, coffee pods taste incredibly old. and i only got 95 pods in the bag! not impressed! waste of money.",,PLID58243680,30 January 2020,1,2020-01-30,not impressed at all coffee pods taste incredibly old and only got pods in the bag not impressed waste of money,,-1,not impressed at all coffee pods taste incredibly old and only got pods in the bag not impressed waste of money ,[],"not impressed at all, coffee pods taste incredibly old. and i only got 95 pods in the bag! not impressed! waste of money. ",[]
this coffee is absolutely awful. what a bad buy,,PLID58243680,25 January 2020,1,2020-01-25,this coffee is absolutely awful what bad buy,,-1,this coffee is absolutely awful what bad buy ,['taste'],this coffee is absolutely awful. what a bad buy ,[]
happy coffee drinker.,,PLID58243680,18 January 2020,5,2020-01-18,happy coffee drinker,,1,happy coffee drinker ,[],happy coffee drinker. ,['happy coffee drinker']
nice coffees all taste great. some of the best i had so far.,,PLID58243680,8 January 2020,5,2020-01-08,nice coffees all taste great some of the best had so far,,1,nice coffees all taste great some of the best had so far ,[],nice coffees all taste great. some of the best i had so far. ,['nice coffee']
"great taste, close to nespresso arpeggio for me. deducted 1 star as the capsule always gets stuck after delivery and i have to push my finger in to drop into the waste basket.",,PLID54493139,7 October 2020,4,2020-10-07,great taste close to nespresso arpeggio for me deducted star as the capsule always gets stuck after delivery and have to push my finger in to drop into the waste basket,,1,great taste close to nespresso arpeggio for me deducted star as the capsule always gets stuck after delivery and have to push my finger in to drop into the waste basket ,"['allergens', 'delivery', 'packaging']","great taste, close to nespresso arpeggio for me. deducted 1 star as the capsule always gets stuck after delivery and i have to push my finger in to drop into the waste basket. ",['great taste']
excellent value for really great tasting coffee. dare i say this tastes better than original nespresso pods.,,PLID54493139,28 September 2020,5,2020-09-28,excellent value for really great tasting coffee dare say this tastes better than original nespresso pods,,1,excellent value for really great tasting coffee dare say this tastes better than original nespresso pods ,[],excellent value for really great tasting coffee. dare i say this tastes better than original nespresso pods. ,['excellent value']
devine taste,,PLID54493139,28 September 2020,4,2020-09-28,devine taste,,1,devine taste ,[],devine taste ,[]
really great tasting coffee and good value for money,,PLID54493139,29 July 2020,5,2020-07-29,really great tasting coffee and good value for money,,1,really great tasting coffee and good value for money ,[],really great tasting coffee and good value for money ,['good value']
love,,PLID54493139,25 May 2020,4,2020-05-25,love,,1,love ,[],love ,[]
"the product is exactly what i order, although only twice so far on takealot, however, the speed at which is gets to the pick up point is great",,PLID54493139,11 February 2020,5,2020-02-11,the product is exactly what order although only twice so far on takealot however the speed at which is gets to the pick up point is great,,1,the product is exactly what order although only twice so far on takealot however the speed at which is gets to the pick up point is great ,"['allergens', 'taste']","the product is exactly what i order, although only twice so far on takealot, however, the speed at which is gets to the pick up point is great ",[]
have to say i buy original nespresso pods as well as these because these are great as well with a different taste from nespresso brand pods and they are half the price,,PLID54493139,9 February 2020,5,2020-02-09,have to say buy original nespresso pods as we will as these because these are great as we will with different taste from nespresso brand pods and they are half the price,,1,have to say buy original nespresso pods as we will as these because these are great as we will with different taste from nespresso brand pods and they are half the price ,['taste'],have to say i buy original nespresso pods as well as these because these are great as well with a different taste from nespresso brand pods and they are half the price ,[]
love this flavor.,,PLID54493139,25 January 2020,5,2020-01-25,love this flavor,,1,love this flavor ,['taste'],love this flavor. ,[]
coffee keep me on the right tracks to begin a big day. thanks for such fast delivery,,PLID54493139,13 October 2019,5,2019-10-13,coffee keep me on the right tracks to begin big day thanks for such fast delivery,,1,coffee keep me on the right tracks to begin big day thanks for such fast delivery ,[],coffee keep me on the right tracks to begin a big day. thanks for such fast delivery ,"['right track', 'such fast delivery']"
insane value and the coffee does not disappoint,,PLID54489195,9 June 2020,5,2020-06-09,insane value and the coffee does not disappoint,,1,insane value and the coffee does not disappoint ,[],insane value and the coffee does not disappoint ,['insane value']
well worth the price,,PLID54489195,25 May 2020,4,2020-05-25,we will worth the price,,1,we will worth the price ,[],well worth the price ,[]
"good coffee, not a 100% fit but its about the nearest to perfect fit that you will find. coffee actually tastes good. does not always fall to the empty dispenser in my nespresso machine but push it down with a teaspoon and it falls throug with ease. this is by far the best alternative for nespresso machines",,PLID54489195,21 May 2020,4,2020-05-21,good coffee not fit but it is about the nearest to perfect fit that you will find coffee actually tastes good does not always fall to the empty dispenser in my nespresso machine but push it down with teaspoon and it falls throug with ease this is by far the best alternative for nespresso machines,,1,good coffee not fit but it is about the nearest to perfect fit that you will find coffee actually tastes good does not always fall to the empty dispenser in my nespresso machine but push it down with teaspoon and it falls throug with ease this is by far the best alternative for nespresso machines ,['taste'],"good coffee, not a 100% fit but its about the nearest to perfect fit that you will find. coffee actually tastes good. does not always fall to the empty dispenser in my nespresso machine but push it down with a teaspoon and it falls throug with ease. this is by far the best alternative for nespresso machines ","['good alternative', 'good coffee']"
great coffee roast flavours for an excellent price! definitely buying it again.,,PLID54489195,16 May 2020,5,2020-05-16,great coffee roast flavours for an excellent price definitely buying it again,,1,great coffee roast flavours for an excellent price definitely buying it again ,[],great coffee roast flavours for an excellent price! definitely buying it again. ,['excellent price']
very happy with this purchase. tried a few different brands and this is by far the best! just ordered the box with 220 capsules at a great price so i don't run out. closest alternative to nespresso without the price tag. haven't had any issues with the pods. will definitely be ordering these on a monthly basis!,,PLID54489195,9 May 2020,5,2020-05-09,very happy with this purchase tried few different brands and this is by far the best just ordered the box with capsules at great price so don run out closest alternative to nespresso without the price tag haven had any issues with the pods will definitely be ordering these on monthly basis,,1,very happy with this purchase tried few different brands and this is by far the best just ordered the box with capsules at great price so don run out closest alternative to nespresso without the price tag haven had any issues with the pods will definitely be ordering these on monthly basis ,"['allergens', 'packaging']",very happy with this purchase. tried a few different brands and this is by far the best! just ordered the box with 220 capsules at a great price so i don't run out. closest alternative to nespresso without the price tag. haven't had any issues with the pods. will definitely be ordering these on a monthly basis! ,['great price']
these are very good. much like nespresso. half the price... ,,PLID54489195,29 March 2020,5,2020-03-29,these are very good much like nespresso half the price,,1,these are very good much like nespresso half the price ,[],these are very good. much like nespresso. half the price...  ,[]
"the coffee tastes delicious but the caps (pods) do not fall through properly and get stuck. easy to push them through but it does get frustrating 
",,PLID54489195,29 March 2020,4,2020-03-29,the coffee tastes delicious but the caps pods do not fall through properly and get stuck easy to push them through but it does get frustrating,,1,the coffee tastes delicious but the caps pods do not fall through properly and get stuck easy to push them through but it does get frustrating ,[],"the coffee tastes delicious but the caps (pods) do not fall through properly and get stuck. easy to push them through but it does get frustrating 
 ",[]
"brilliant purchase.  with a household of coffee fantastics, each had their own variety. true value for money. thank you.",,PLID54489195,11 March 2020,5,2020-03-11,brilliant purchase with household of coffee fantastics each had their own variety true value for money thank you,,1,brilliant purchase with household of coffee fantastics each had their own variety true value for money thank you ,[],"brilliant purchase.  with a household of coffee fantastics, each had their own variety. true value for money. thank you. ","['own variety', 'brilliant purchase']"
product is great and well priced. delivery took longer than i had wanted.,,PLID54489195,3 March 2020,5,2020-03-03,product is great and we will priced delivery took longer than had wanted,,1,product is great and we will priced delivery took longer than had wanted ,[],product is great and well priced. delivery took longer than i had wanted. ,[]
great product nescafe compattible and great quality and taste,,PLID54489195,25 February 2020,5,2020-02-25,great product nescafe compattible and great quality and taste,,1,great product nescafe compattible and great quality and taste ,['taste'],great product nescafe compattible and great quality and taste ,['great product']
these coffecups works perfectly well with my nespresso machine. the taste of the selection of 5 different flavours and strength is excellent. these cups are great for real coffee lovers. the price is unbeatable. these cups will always be part of my kichen.,,PLID54489195,24 February 2020,5,2020-02-24,these coffecups works perfectly we will with my nespresso machine the taste of the selection of different flavours and strength is excellent these cups are great for real coffee lovers the price is unbeatable these cups will always be part of my kichen,,1,these coffecups works perfectly we will with my nespresso machine the taste of the selection of different flavours and strength is excellent these cups are great for real coffee lovers the price is unbeatable these cups will always be part of my kichen ,['taste'],these coffecups works perfectly well with my nespresso machine. the taste of the selection of 5 different flavours and strength is excellent. these cups are great for real coffee lovers. the price is unbeatable. these cups will always be part of my kichen. ,['real coffee lover']
good the price.,,PLID54489195,10 February 2020,4,2020-02-10,good the price,,1,good the price ,[],good the price. ,[]
great price for good coffee,,PLID54489195,8 February 2020,4,2020-02-08,great price for good coffee,,1,great price for good coffee ,[],great price for good coffee ,"['great price', 'good coffee']"
great value for money,,PLID54489195,7 February 2020,4,2020-02-07,great value for money,,1,great value for money ,[],great value for money ,['great value']
good for the price,,PLID41141718,11 May 2020,4,2020-05-11,good for the price,,1,good for the price ,[],good for the price ,[]
purple pods we awesome - not fond of the blue or yellow!,,PLID41141718,11 May 2020,3,2020-05-11,purple pods we awesome not fond of the blue or yellow,,1,purple pods we awesome not fond of the blue or yellow ,[],purple pods we awesome - not fond of the blue or yellow! ,[]
just love this product. taste nice.,,PLID41141718,4 May 2020,5,2020-05-04,just love this product taste nice,,1,just love this product taste nice ,[],just love this product. taste nice. ,[]
"good selection, good price. had a few pods where the foil had torn up and caused the ground coffee to clog the machine, quick fix. either way a good selection at a decent price",,PLID41141718,28 April 2020,4,2020-04-28,good selection good price had few pods where the foil had torn up and caused the ground coffee to clog the machine quick fix either way good selection at decent price,,1,good selection good price had few pods where the foil had torn up and caused the ground coffee to clog the machine quick fix either way good selection at decent price ,"['allergens', 'packaging', 'taste']","good selection, good price. had a few pods where the foil had torn up and caused the ground coffee to clog the machine, quick fix. either way a good selection at a decent price ","['decent price', 'good price', 'good selection']"
"great coffee, enjoyed all the different strengths and no chemical/metallic flavor that many pods often have. second time i have purchased and am about to purchase again.",,PLID41141718,14 April 2020,5,2020-04-14,great coffee enjoyed all the different strengths and no chemical metallic flavor that many pods often have second time have purchased and am about to purchase again,,1,great coffee enjoyed all the different strengths and no chemical metallic flavor that many pods often have second time have purchased and am about to purchase again ,"['delivery', 'taste']","great coffee, enjoyed all the different strengths and no chemical/metallic flavor that many pods often have. second time i have purchased and am about to purchase again. ",['great coffee']
"works well with nespresso machine, great taste.",,PLID41141718,6 April 2020,4,2020-04-06,works we will with nespresso machine great taste,,1,works we will with nespresso machine great taste ,['taste'],"works well with nespresso machine, great taste. ",['great taste']
quality product and variety. all caffeinated.,,PLID41141718,28 March 2020,5,2020-03-28,quality product and variety all caffeinated,,1,quality product and variety all caffeinated ,[],quality product and variety. all caffeinated. ,[]
perfectly compatible with the nespresso machine.  great taste too at a reasonable price.,,PLID41141718,11 March 2020,5,2020-03-11,perfectly compatible with the nespresso machine great taste too at reasonable price,,1,perfectly compatible with the nespresso machine great taste too at reasonable price ,['taste'],perfectly compatible with the nespresso machine.  great taste too at a reasonable price. ,"['great taste', 'reasonable price']"
"good value for money, especially when the son at varsity needs to replenish his own stock from my supply. to get a first stronger cup in the mornings i do two shots per mug. at this price it is affordable. ",,PLID41141718,10 March 2020,4,2020-03-10,good value for money especially when the son at varsity needs to replenish his own stock from my supply to get first stronger cup in the mornings do two shots per mug at this price it is affordable,,1,good value for money especially when the son at varsity needs to replenish his own stock from my supply to get first stronger cup in the mornings do two shots per mug at this price it is affordable ,['allergens'],"good value for money, especially when the son at varsity needs to replenish his own stock from my supply. to get a first stronger cup in the mornings i do two shots per mug. at this price it is affordable.  ","['good value', 'first strong cup']"
delicious brews. capsules work well and lasts a long time. dark roast is my favourite although the mild roast and medium roast has little difference between the two.,,PLID41141718,16 February 2020,4,2020-02-16,delicious brews capsules work we will and lasts long time dark roast is my favourite although the mild roast and medium roast has little difference between the two,,1,delicious brews capsules work we will and lasts long time dark roast is my favourite although the mild roast and medium roast has little difference between the two ,"['allergens', 'delivery']",delicious brews. capsules work well and lasts a long time. dark roast is my favourite although the mild roast and medium roast has little difference between the two. ,['dark roast']
great,,PLID41141718,4 February 2020,5,2020-02-04,great,,1,great ,[],great ,[]
does not work in the nespresso inissia c40 machine. the capsule does not sit properly hence leaking water. product will be returned.,,PLID41141718,9 January 2020,1,2020-01-09,does not work in the nespresso inissia machine the capsule does not sit properly hence leaking water product will be returned,,-1,does not work in the nespresso inissia machine the capsule does not sit properly hence leaking water product will be returned ,"['delivery', 'taste']",does not work in the nespresso inissia c40 machine. the capsule does not sit properly hence leaking water. product will be returned. ,[]
not bad. well priced and range so far for me is great.,,PLID41141718,2 January 2020,4,2020-01-02,not bad we will priced and range so far for me is great,,1,not bad we will priced and range so far for me is great ,[],not bad. well priced and range so far for me is great. ,[]
different taste than nespresso but well worth the money,,PLID41141718,30 December 2019,4,2019-12-30,different taste than nespresso but we will worth the money,,1,different taste than nespresso but we will worth the money ,[],different taste than nespresso but well worth the money ,[]
excellent product,,PLID41141718,28 December 2019,5,2019-12-28,excellent product,,1,excellent product ,[],excellent product ,['excellent product']
pod doesn't fit properly in nespresso machine - coffee basically drips out,,PLID48563870,28 September 2019,3,2019-09-28,pod doesn fit properly in nespresso machine coffee basically drips out,,1,pod doesn fit properly in nespresso machine coffee basically drips out ,['taste'],pod doesn't fit properly in nespresso machine - coffee basically drips out ,[]
"i wont buy this again, 1. its plastic capsules, 2. it makes my machine super slow as if it strains the machine. will only buy the nespresso brand from now on",,PLID48563870,23 September 2019,2,2019-09-23,will not buy this again it is plastic capsules it makes my machine super slow as if it strains the machine will only buy the nespresso brand from now on,,1,will not buy this again it is plastic capsules it makes my machine super slow as if it strains the machine will only buy the nespresso brand from now on ,"['price', 'taste']","i wont buy this again, 1. its plastic capsules, 2. it makes my machine super slow as if it strains the machine. will only buy the nespresso brand from now on ",[]
"great coffee, good strength and aroma.",,PLID48563870,3 June 2019,4,2019-06-03,great coffee good strength and aroma,,1,great coffee good strength and aroma ,[],"great coffee, good strength and aroma. ","['great coffee', 'good strength']"
great,,PLID48563870,19 February 2019,5,2019-02-19,great,,1,great ,[],great ,[]
"capsules work well in my nespresso machine, very good strong flavour, equally as good as original ",,PLID48563870,18 February 2019,4,2019-02-18,capsules work we will in my nespresso machine very good strong flavour equally as good as original,,1,capsules work we will in my nespresso machine very good strong flavour equally as good as original ,['taste'],"capsules work well in my nespresso machine, very good strong flavour, equally as good as original  ",[]
"love bootleggers!
can't have the nespresso blend any longer",,PLID48563870,4 July 2018,5,2018-07-04,love bootleggers can have the nespresso blend any longer,,1,love bootleggers can have the nespresso blend any longer ,[],"love bootleggers!
can't have the nespresso blend any longer ",[]
this coffee is delicious! works well as espresso and lungo!,,PLID48563870,28 March 2018,5,2018-03-28,this coffee is delicious works we will as espresso and lungo,,1,this coffee is delicious works we will as espresso and lungo ,[],this coffee is delicious! works well as espresso and lungo! ,[]
i like this - local coffee at a good price through a nespresso. what more can you ask for?,,PLID48563870,26 March 2018,4,2018-03-26,like this local coffee at good price through nespresso what more can you ask for,,1,like this local coffee at good price through nespresso what more can you ask for ,[],i like this - local coffee at a good price through a nespresso. what more can you ask for? ,['good price']
"delicious coffee, we love it! our alternative to nespresso and the pods fit in a nespresso machine.",,PLID52856324,23 September 2020,4,2020-09-23,delicious coffee we love it our alternative to nespresso and the pods fit in nespresso machine,,1,delicious coffee we love it our alternative to nespresso and the pods fit in nespresso machine ,['taste'],"delicious coffee, we love it! our alternative to nespresso and the pods fit in a nespresso machine. ",[]
good coffee,,PLID52856324,3 August 2020,4,2020-08-03,good coffee,,1,good coffee ,[],good coffee ,['good coffee']
great product and easy to use.,,PLID44858550,12 August 2020,5,2020-08-12,great product and easy to use,,1,great product and easy to use ,[],great product and easy to use. ,['great product']
love the taste,,PLID44858550,21 July 2020,5,2020-07-21,love the taste,,1,love the taste ,[],love the taste ,[]
look its better than the normal dolce gusto ones that's for sure - but i really didn't enjoy the taste of this coffee - almost tasted like watered down jacobs to me. i won't buy it again cos it didn't really have that filter coffee taste i was looking for.,,PLID44858550,29 May 2020,3,2020-05-29,look it is better than the normal dolce gusto ones that for sure but really didn enjoy the taste of this coffee almost tasted like watered down jacobs to me won buy it again cos it didn really have that filter coffee taste was looking for,,1,look it is better than the normal dolce gusto ones that for sure but really didn enjoy the taste of this coffee almost tasted like watered down jacobs to me won buy it again cos it didn really have that filter coffee taste was looking for ,"['delivery', 'taste']",look its better than the normal dolce gusto ones that's for sure - but i really didn't enjoy the taste of this coffee - almost tasted like watered down jacobs to me. i won't buy it again cos it didn't really have that filter coffee taste i was looking for. ,[]
definitely the best in the range. i give it a 10/10,,PLID44858550,18 May 2020,4,2020-05-18,definitely the best in the range give it,,1,definitely the best in the range give it ,[],definitely the best in the range. i give it a 10/10 ,[]
i enjoy the aromatic flavours of the capsules. love the smell of fresh coffee in the morning. will buy again!,,PLID44858550,11 May 2020,5,2020-05-11,enjoy the aromatic flavours of the capsules love the smell of fresh coffee in the morning will buy again,,1,enjoy the aromatic flavours of the capsules love the smell of fresh coffee in the morning will buy again ,"['price', 'taste']",i enjoy the aromatic flavours of the capsules. love the smell of fresh coffee in the morning. will buy again! ,['fresh coffee']
"makes a perfect americano. love the machine and the pods. have the machine now for almost 5 years and still works perfectly and the quality of the coffee in these pods is consistently good - and every pod works, just never a problem",,PLID44858550,21 February 2020,5,2020-02-21,makes perfect americano love the machine and the pods have the machine now for almost years and still works perfectly and the quality of the coffee in these pods is consistently good and every pod works just never problem,,1,makes perfect americano love the machine and the pods have the machine now for almost years and still works perfectly and the quality of the coffee in these pods is consistently good and every pod works just never problem ,['taste'],"makes a perfect americano. love the machine and the pods. have the machine now for almost 5 years and still works perfectly and the quality of the coffee in these pods is consistently good - and every pod works, just never a problem ",['perfect americano']
the box of coffee is exactly what you expect to receive. all information on product is what it really is,,PLID44858550,28 October 2019,4,2019-10-28,the box of coffee is exactly what you expect to receive all information on product is what it really is,,1,the box of coffee is exactly what you expect to receive all information on product is what it really is ,[],the box of coffee is exactly what you expect to receive. all information on product is what it really is ,[]
love these capsules. no bitter aftertaste. very smooth tasting,,PLID44858550,10 September 2019,5,2019-09-10,love these capsules no bitter aftertaste very smooth tasting,,1,love these capsules no bitter aftertaste very smooth tasting ,[],love these capsules. no bitter aftertaste. very smooth tasting ,"['bitter aftertaste', 'very smooth tasting']"
i love my coffee !!!,,PLID44858550,23 July 2019,4,2019-07-23,love my coffee,,1,love my coffee ,[],i love my coffee !!! ,[]
we like this coffee.,,PLID44858550,9 July 2018,2,2018-07-09,we like this coffee,,1,we like this coffee ,[],we like this coffee. ,[]
very nice coffee,,PLID44858550,14 June 2018,4,2018-06-14,very nice coffee,,1,very nice coffee ,[],very nice coffee ,['very nice coffee']
"it didn't mention the size of the pods in the description : it does not fit in the nespresso/type machine!!! so sorry, i was so looking forward to tasting this coffee, but obviously that has been a waste of moneyã°å¸ëœâ¢",,PLID44858550,30 January 2018,2,2018-01-30,it didn mention the size of the pods in the description it does not fit in the nespresso type machine so sorry was so looking forward to tasting this coffee but obviously that has been waste of money,,1,it didn mention the size of the pods in the description it does not fit in the nespresso type machine so sorry was so looking forward to tasting this coffee but obviously that has been waste of money ,['taste'],"it didn't mention the size of the pods in the description : it does not fit in the nespresso/type machine!!! so sorry, i was so looking forward to tasting this coffee, but obviously that has been a waste of moneyã°å¸ëœâ¢ ",[]
"good value for the price
",,PLID50084565,3 September 2020,4,2020-09-03,good value for the price,,1,good value for the price ,[],"good value for the price
 ",['good value']
great value for money. large variety.,,PLID50084565,29 August 2020,4,2020-08-29,great value for money large variety,,1,great value for money large variety ,[],great value for money. large variety. ,"['great value', 'large variety']"
"good value, decent taste",,PLID50084565,17 August 2020,4,2020-08-17,good value decent taste,,1,good value decent taste ,[],"good value, decent taste ","['decent taste', 'good value']"
"good value for money. great tasting pods and all work perfectly so far. full rich and strong taste on all the different flavours, might be to strong in taste for some.",,PLID50084565,12 August 2020,5,2020-08-12,good value for money great tasting pods and all work perfectly so far full rich and strong taste on all the different flavours might be to strong in taste for some,,1,good value for money great tasting pods and all work perfectly so far full rich and strong taste on all the different flavours might be to strong in taste for some ,['taste'],"good value for money. great tasting pods and all work perfectly so far. full rich and strong taste on all the different flavours, might be to strong in taste for some. ","['good value', 'great tasting pod']"
great product and value for money,,PLID50084565,11 August 2020,4,2020-08-11,great product and value for money,,1,great product and value for money ,[],great product and value for money ,['great product']
great strong coffee,,PLID50084565,4 August 2020,5,2020-08-04,great strong coffee,,1,great strong coffee ,[],great strong coffee ,['great strong coffee']
